id_ticket,fecha,turno,id_plato,cantidad,nombre_plato,categoria
T-13610,2024-12-28,Comida,P-01,4,Hamburguesa Smart,Principal
T-16164,2024-12-03,Cena,P-22,2,Te Verde,Bebida
T-13040,2025-07-03,Comida,P-02,1,Ensalada Cesar,Entrante
T-16803,2024-10-18,Comida,P-09,1,Gazpacho Andaluz,Entrante
T-14977,2024-11-13,Cena,P-08,4,Croquetas de Jamon,Entrante
T-16634,2024-01-18,Cena,P-17,2,Brownie con Helado,Postre
T-13151,2024-05-21,Cena,P-04,1,Tarta de Queso Casera,Postre
T-17181,2024-05-15,Comida,P-07,1,Pizza Margarita,Principal
T-17485,2025-08-21,Cena,P-04,4,Tarta de Queso Casera,Postre
T-11139,2024-09-26,Comida,P-20,1,Paella de Marisco,Principal
T-10581,2025-01-22,Cena,P-04,1,Tarta de Queso Casera,Postre
T-10529,2025-12-19,Cena,P-09,1,Gazpacho Andaluz,Entrante
T-13094,2025-03-13,Cena,P-10,2,Solomillo Iberico,Principal
T-13601,2025-01-09,Comida,P-20,2,Paella de Marisco,Principal
T-13183,2024-10-09,Comida,P-18,3,Ensaladilla Rusa,Entrante
T-11267,2024-11-03,Cena,P-20,1,Paella de Marisco,Principal
T-11078,2025-08-03,Cena,P-13,4,Bacalao al Horno,Principal
T-11787,2024-12-07,Comida,P-03,3,Pasta Carbonara IA,Principal
T-14328,2024-12-14,Cena,P-07,3,Pizza Margarita,Principal
T-10434,2024-07-31,Comida,P-01,3,Hamburguesa Smart,Principal
T-13558,2025-04-25,Cena,P-15,4,Cerveza Artesana,Bebida
T-12423,2024-10-13,Cena,P-15,3,Cerveza Artesana,Bebida
T-14284,2024-11-25,Cena,P-23,4,Tiramisu de la Casa,Postre
T-14015,2024-02-04,Cena,P-13,2,Bacalao al Horno,Principal
T-12524,2024-03-16,Cena,P-23,2,Tiramisu de la Casa,Postre
T-14877,2025-10-04,Cena,P-25,4,Canelones de Carne,Principal
T-16836,2025-09-28,Comida,P-05,3,Refresco Cola,Bebida
T-14580,2024-12-02,Cena,P-17,1,Brownie con Helado,Postre
T-12492,2024-11-14,Comida,P-14,4,Tortilla de Patatas,Entrante
T-10801,2025-06-02,Comida,P-05,2,Refresco Cola,Bebida
T-10220,2025-04-29,Comida,P-05,2,Refresco Cola,Bebida
T-10242,2025-11-02,Cena,P-11,1,Salmon a la Plancha,Principal
T-17495,2024-02-29,Cena,P-24,3,Nuggets de Pollo,Principal
T-12185,2025-04-23,Cena,P-11,3,Salmon a la Plancha,Principal
T-11181,2024-08-18,Comida,P-07,4,Pizza Margarita,Principal
T-17255,2024-08-26,Comida,P-02,1,Ensalada Cesar,Entrante
T-16995,2024-01-20,Cena,P-23,2,Tiramisu de la Casa,Postre
T-16498,2025-06-29,Comida,P-24,3,Nuggets de Pollo,Principal
T-16612,2025-06-01,Cena,P-15,2,Cerveza Artesana,Bebida
T-17680,2025-10-08,Comida,P-17,3,Brownie con Helado,Postre
T-12634,2024-01-29,Cena,P-11,2,Salmon a la Plancha,Principal
T-14011,2025-07-09,Cena,P-13,4,Bacalao al Horno,Principal
T-15886,2024-03-27,Cena,P-21,2,Cafe Solo,Bebida
T-12511,2025-04-05,Cena,P-02,3,Ensalada Cesar,Entrante
T-17442,2024-06-19,Comida,P-01,4,Hamburguesa Smart,Principal
T-13147,2024-01-08,Comida,P-03,1,Pasta Carbonara IA,Principal
T-12080,2024-12-21,Cena,P-25,4,Canelones de Carne,Principal
T-12258,2024-10-09,Cena,P-08,2,Croquetas de Jamon,Entrante
T-14043,2024-07-10,Cena,P-18,4,Ensaladilla Rusa,Entrante
T-13921,2025-10-10,Comida,P-02,2,Ensalada Cesar,Entrante
T-14180,2025-04-06,Cena,P-23,1,Tiramisu de la Casa,Postre
T-10505,2024-11-19,Cena,P-25,4,Canelones de Carne,Principal
T-17974,2025-05-27,Cena,P-21,1,Cafe Solo,Bebida
T-10969,2024-08-05,Cena,P-16,2,Agua Mineral,Bebida
T-14765,2025-01-03,Cena,P-21,3,Cafe Solo,Bebida
T-11664,2024-03-06,Cena,P-05,4,Refresco Cola,Bebida
T-17382,2025-03-28,Comida,P-15,4,Cerveza Artesana,Bebida
T-14796,2025-12-29,Cena,P-13,2,Bacalao al Horno,Principal
